	delta	fk	interpolation_change_J_norm	interpolation_condition_number	interpolation_error	interpolation_total_residual	iter_this_run	iter_type	iters_total	max_distance_xk	nf	norm_gk	norm_sk	npt	nruns	nsamples	nx	poisedness	ratio	rho	rk	slow_iter	xk
16	0.24	0.698453923	1.372624002	26.20660829	6.24E-32	1.395421149	16	Unsuccessful (geom fixed)	16	0.48	20	18.23929753	0.24	3	0	3	20	6.024937811	-1.454125156	0.012	[0.64883824 0.52674744]	-1	[0.47325256 0.28885181]
17	0.12	0.698453923	1.687710625	5.658481153	0	166.5268253	17	Very successful	17	0.048	22	18.34981264	0.12	3	0	3	22	6.590169944	0.942730065	0.012	[0.64883824 0.52674744]	0	[0.47325256 0.28885181]
18	0.48	0.201237277	1.045322015	8.001028231	1.23E-31	105.1483547	18	Unsuccessful (geom fixed)	18	0.143161997	23	4.403029745	0.48	3	0	3	23	9.115021793	-9.145178285	0.012	[-0.17513868  0.41299361]	-1	[0.58700639 0.32706264]
19	0.24	0.201237277	0.515613702	8.062212291	6.47E-32	86.75146225	19	Unsuccessful (geom not fixed)	19	0.143161997	25	4.475662423	0.24	3	0	3	25	6.27355597	-0.764669465	0.012	[-0.17513868  0.41299361]	-1	[0.58700639 0.32706264]
20	0.12	0.201237277	1.633980426	7.476281254	8.20E-31	23.21661268	20	Very successful	20	0.24	26	3.787186947	0.12	3	0	3	26	2.640258188	0.756669959	0.012	[-0.17513868  0.41299361]	0	[0.58700639 0.32706264]
21	0.48	0.143966134	1.231243996	8.406514283	1.85E-32	17.09841539	21	Unsuccessful (geom not fixed)	21	0.227866965	27	4.291233658	0.48	3	0	3	27	7.330205507	-13.84575434	0.012	[0.13728295 0.35372239]	-1	[0.64627761 0.43140305]
22	0.24	0.143966134	2.921074836	19.25983926	7.70E-32	4.729761837	22	Unsuccessful (geom not fixed)	22	0.48	28	2.486140415	0.24	3	0	3	28	5.311854421	-30.54440789	0.012	[0.13728295 0.35372239]	-1	[0.64627761 0.43140305]
23	0.12	0.143966134	2.937575146	6.075029045	5.08E-31	30.40695363	23	Successful	23	0.24	29	4.31464645	0.12	3	0	3	29	2.346225374	0.300891438	0.012	[0.13728295 0.35372239]	0	[0.64627761 0.43140305]
24	0.12	0.122202442	1.917165997	5.851266713	4.93E-32	97.21378819	24	Very successful	24	0.145936116	30	7.293028017	0.12	3	0	3	30	3.107471986	0.874574703	0.012	[-0.22545146  0.26715928]	0	[0.73284072 0.51451038]
25	0.48	0.052964013	1.05031235	7.600788359	1.45E-30	24.56661289	25	Unsuccessful (geom not fixed)	25	0.237603951	31	3.306124892	0.370025392	3	0	3	31	6.843847084	-9.612814844	0.012	[-0.10009846  0.20723009]	-1	[0.79276991 0.61847428]
26	0.24	0.052964013	1.42562798	11.82285308	2.63E-30	8.038509452	26	Successful	26	0.370025392	32	3.263998406	0.24	3	0	3	32	3.991947113	0.318368559	0.012	[-0.10009846  0.20723009]	0	[0.79276991 0.61847428]
27	0.24	0.039129798	0.858501524	9.004368482	1.46E-30	14.87489542	27	Unsuccessful (geom fixed)	27	0.250993827	33	6.398592861	0.174425218	3	0	3	33	2.994509549	-0.40360548	0.012	[0.17216325 0.09741465]	-1	[0.90258535 0.83187664]
28	0.12	0.039129798	1.636963817	18.26873938	2.56E-32	9.789862632	28	Very successful	28	0.174425218	35	7.238745164	0.12	3	0	3	35	5.830239383	0.983109694	0.012	[0.17216325 0.09741465]	0	[0.90258535 0.83187664]
29	0.48	0.00185108	0.473383935	14.58909757	7.05E-32	24.35157657	29	Successful	29	0.121530304	36	1.101036732	0.071606003	3	0	3	36	19.38597204	0.455213504	0.012	[0.02535265 0.03476094]	0	[0.96523906 0.93422171]
30	0.24	0.001008443	0.407505576	23.05045371	7.47E-31	10.25719096	30	Safety	30	0.191727296	37	1.30279399	0.0033426	3	0	3	37	9.586797333		0.012	[-3.17559942e-02 -2.22044605e-15]	-1	[1.        0.9968244]
31	0.024	0.001008443	1.295812063	26.18463348	3.41E-31	4.130475284	31	Safety	31	0.191565593	38	1.409305976	0.003066951	3	0	3	38	2.258031781		0.012	[-3.17559942e-02 -2.22044605e-15]	-1	[1.        0.9968244]
32	0.018	0.000104181	0.669944112	4.952383767	4.84E-34	218.0390329	32	Very successful	32	0.026298166	39	0.184490328	0.018	3	0	3	39	2	0.999832288	0.012	[-0.00451636  0.00915333]	0	[0.99084667 0.98132548]
33	0.072	1.60E-06	0.125160345	3.845558045	2.41E-34	460.7456742	33	Safety	33	0.018	40	0.008546902	0.002786823	3	0	3	40	6.947880452		0.012	[0.00014018 0.00125723]	-1	[0.99874277 0.99750113]
34	0.006	1.60E-06	0	3.845558045	2.41E-34	460.7456742	34	Very successful	34	0.018	40	0.008546902	0.002786823	3	0	3	40	1.495656704	0.991366964	0.0012	[0.00014018 0.00125723]	0	[0.99874277 0.99750113]
35	0.012	1.38E-08	0.091602014	3.869617967	4.30E-33	344.1161732	35	Safety	35	0.020786589	41	0.005221149	1.18E-05	3	0	3	41	1.856663435		0.0012	[-0.00011754  0.        ]	-1	[1.         0.99998825]
36	0.0018	1.38E-08	0.176515954	25.879298	3.18E-33	473.2820406	36	Safety	36	0.01777387	42	0.005220526	1.18E-05	3	0	3	42	2.005114954		0.0012	[-0.00011754  0.        ]	-1	[1.         0.99998825]
37	0.0018	1.38E-08	0.37148656	3.746012579	9.64E-35	486.1524362	37	Safety	37	0.0018	43	0.005252852	1.18E-05	3	0	3	43	2.423238225		0.0012	[-0.00011754  0.        ]	-1	[1.         0.99998825]
38	0.0006	1.38E-08	0	3.746012579	9.64E-35	486.1524362	38	Safety	38	0.0018	43	0.005252852	1.18E-05	3	0	3	43	1.474412742		0.00012	[-0.00011754  0.        ]	-1	[1.         0.99998825]
39	0.00018	1.38E-08	0.052138905	25.879298	5.10E-35	494.9281872	39	Safety	39	0.001777387	44	0.005252906	1.18E-05	3	0	3	44	2.005114954		0.00012	[-0.00011754  0.        ]	-1	[1.         0.99998825]
40	0.00018	1.38E-08	0.129872797	3.746012579	1.83E-36	488.4742803	40	Safety	40	0.00018	45	0.005256857	1.18E-05	3	0	3	45	2.423238225		0.00012	[-0.00011754  0.        ]	-1	[1.         0.99998825]
41	6.00E-05	1.38E-08	0	3.746012579	1.83E-36	488.4742803	41		41	0.00018	45	0.005256857	1.18E-05	3	0	3	45	1.474412742		1.20E-05	[-0.00011754  0.        ]		[1.         0.99998825]
